creditability,account_balance,previous_credit_payment_status,credit_duration_month,purpose_of_earlier_credit,credit_amount,installment_percent,current_emploment_length,sex_and_marital_status,guarantors,duration_at_current_address,most_valuable_available_asset,age,concurrent_credits,apartmenttype,howmanycreditsat_this_bank,occupation,dependents,telephone,foreign_worker
1,2,4,21,2,2745,3,4,3,1,2,3,32,3,2,2,3,1,2,1
1,4,2,30,3,1867,4,5,3,1,4,3,58,3,2,1,3,1,2,1
1,4,2,36,3,2299,4,5,3,1,4,3,39,3,2,1,3,1,1,1
1,4,2,24,2,929,4,4,3,1,2,3,31,2,2,1,3,1,2,1
1,3,2,12,3,3399,2,5,3,1,3,3,37,3,2,1,4,1,1,1
1,2,2,9,2,2030,2,4,3,1,1,3,24,3,2,1,3,1,2,1
1,4,4,21,1,3275,1,5,3,1,4,3,36,3,2,1,4,1,2,1
1,4,4,24,0,1940,4,5,3,1,4,1,60,3,2,1,3,1,2,1
1,1,4,21,0,1602,4,5,4,1,3,3,30,3,2,2,3,1,2,1
1,4,2,15,3,1979,4,5,3,1,2,3,35,3,2,1,3,1,1,1
1,4,4,24,0,2022,4,3,2,1,4,3,37,3,2,1,3,1,2,1
1,4,4,36,3,3342,4,5,3,1,2,3,51,3,2,1,3,1,2,1
1,2,2,18,0,5866,2,3,3,1,2,3,30,3,2,2,3,1,2,1
1,3,4,15,1,2360,2,3,3,1,2,3,36,3,2,1,3,1,2,1
1,4,4,15,2,1520,4,5,3,1,4,2,63,3,2,1,3,1,1,1
1,1,2,12,0,3651,1,3,3,1,3,2,31,3,2,1,3,2,1,1
1,4,4,24,1,2346,4,4,3,1,3,3,35,3,2,2,3,1,2,1
1,4,3,36,3,4454,4,3,2,1,4,1,34,3,2,2,3,1,1,1
1,1,4,6,0,666,3,4,2,1,4,1,39,3,2,2,2,1,2,1
1,2,3,24,0,1965,4,3,2,1,4,3,42,3,1,2,3,1,2,1
1,2,4,12,0,1995,4,2,3,1,1,3,27,3,2,1,3,1,1,1
1,2,2,30,3,2991,2,5,2,1,4,3,25,3,2,1,3,1,1,1
1,2,0,30,9,4221,2,3,2,1,1,3,28,3,2,2,3,1,1,1
1,1,2,9,3,1364,3,4,3,1,4,1,59,3,2,1,3,1,1,1
1,2,4,18,2,6361,2,5,3,1,1,4,41,3,2,1,3,1,2,1
1,4,4,27,2,4526,4,2,3,1,2,1,32,2,2,2,2,2,2,1
1,2,4,12,3,3573,1,3,2,1,1,1,23,3,2,1,2,1,1,1
0,2,3,36,9,4455,2,3,1,1,2,1,30,2,2,2,4,1,2,1
1,1,2,9,2,2136,3,3,3,1,2,1,25,3,2,1,3,1,1,1
1,2,4,42,9,5954,2,4,2,1,1,1,41,1,2,2,2,1,1,1
1,4,4,24,2,3777,4,3,3,1,4,1,40,3,2,1,3,1,2,1
1,1,2,15,9,806,4,3,2,1,4,2,22,3,2,1,2,1,1,1
1,2,3,24,9,4712,4,3,3,1,2,2,34,1,2,2,4,1,2,1
1,2,3,36,0,7432,2,3,2,1,2,2,54,3,1,1,3,1,1,1
1,4,4,24,3,1851,4,4,4,3,2,3,33,3,2,2,3,1,2,1
1,4,2,24,0,1393,2,3,3,3,2,1,31,3,2,1,3,1,2,1
1,4,4,12,9,1412,4,3,2,3,2,1,29,3,2,2,4,1,2,1
1,4,2,18,3,1473,3,2,4,1,4,1,39,3,2,1,3,1,2,1
1,4,2,24,3,1533,4,2,2,1,3,3,38,2,2,1,3,1,2,1
1,4,4,12,6,2012,4,4,2,1,2,3,61,3,2,1,3,1,1,1
0,1,2,15,0,3959,3,3,2,1,2,2,29,3,2,1,3,1,2,1
1,1,2,6,2,428,2,5,2,1,1,2,49,1,2,1,3,1,2,1
1,2,4,12,0,2366,3,4,1,1,3,3,36,3,2,1,4,1,2,1
1,4,2,12,2,763,4,3,2,1,1,1,26,3,2,1,3,1,2,1
1,2,2,21,2,3976,2,4,3,1,3,3,35,3,2,1,3,1,2,1
1,2,2,18,0,6260,3,4,3,1,3,1,28,3,1,1,2,1,1,1
1,2,4,9,2,1919,4,4,3,1,3,3,35,3,1,1,3,1,2,1
1,4,2,24,1,2603,2,3,2,1,4,3,28,3,1,1,3,1,2,1
1,4,4,9,6,936,4,5,3,1,2,3,52,3,2,2,3,1,2,1
1,4,2,24,2,3062,4,5,3,1,3,4,32,3,1,1,3,1,2,1
1,2,2,36,3,4795,4,2,2,1,1,4,30,3,2,1,4,1,2,1
1,4,4,36,1,5842,2,5,3,1,2,2,35,3,2,2,3,2,2,1
1,2,2,6,3,2063,4,2,4,1,3,3,30,3,1,1,4,1,2,1
1,4,4,15,3,1459,4,3,2,1,2,3,43,3,2,1,2,1,1,1
1,4,2,15,3,1213,4,5,3,1,3,2,47,2,2,1,3,1,2,1
1,4,4,24,3,5103,3,2,4,1,3,4,47,3,3,3,3,1,2,1
1,4,2,15,4,874,4,2,2,1,1,1,24,3,2,1,3,1,1,1
1,4,2,6,2,2978,1,3,3,1,2,3,32,3,2,1,3,1,2,1
1,4,2,18,0,1820,2,3,4,1,2,2,30,3,2,1,4,1,2,1
1,4,4,24,3,2872,3,5,3,1,4,1,36,3,2,1,3,2,2,1
1,3,2,24,2,1925,2,3,3,1,2,1,26,3,2,1,3,1,1,1
1,4,2,18,2,2515,3,3,3,1,4,1,43,3,2,1,3,1,2,1
1,3,2,6,2,2116,2,3,3,1,2,1,41,3,2,1,3,1,2,1
1,4,2,18,3,1453,3,2,2,1,1,1,26,3,2,1,3,1,1,1
1,4,2,10,0,1364,2,3,2,1,4,3,64,3,2,1,3,1,2,1
1,4,2,6,2,1543,4,3,1,1,2,1,33,3,2,1,3,1,1,1
1,2,2,12,0,1318,4,5,3,1,4,1,54,3,2,1,3,1,2,1
1,1,1,24,0,2325,2,4,3,1,3,3,32,1,2,1,3,1,1,1
1,2,4,6,8,932,1,4,2,1,3,2,39,3,2,2,2,1,1,1
1,3,4,24,3,3148,3,3,3,1,2,3,31,3,2,2,3,1,2,1
1,4,2,36,3,3835,2,5,2,1,4,1,45,3,2,1,2,1,2,1
1,4,2,9,6,3832,1,5,3,1,4,1,64,3,2,1,2,1,1,1
1,2,2,24,3,5084,2,5,2,1,4,3,42,3,2,1,3,1,2,1
1,4,4,9,2,2406,2,1,3,1,3,3,31,3,2,1,4,1,1,1
1,4,2,36,3,2394,4,3,2,1,4,3,25,3,2,1,3,1,1,1
1,4,2,21,1,2476,4,5,3,1,4,1,46,3,2,1,4,1,2,1
1,1,2,24,1,2964,4,5,3,1,4,4,49,1,3,1,3,2,2,1
1,1,2,12,2,1262,2,5,1,1,4,2,49,3,2,1,2,1,2,1
1,4,2,12,9,1542,2,4,3,1,4,3,36,3,2,1,3,1,2,1
1,2,4,24,3,1743,4,5,3,1,2,2,48,3,2,2,2,1,1,1
1,3,1,12,3,409,3,3,2,1,3,1,42,3,1,2,3,1,1,1
1,4,2,12,3,2171,2,2,2,1,2,3,29,1,2,1,3,1,1,1
1,4,4,48,1,8858,2,4,3,1,1,4,35,3,3,2,3,1,2,1
1,2,2,24,0,3512,2,4,3,1,3,3,38,1,2,2,3,1,2,1
1,2,2,12,3,1158,3,3,1,1,1,3,26,3,2,1,3,1,2,1
1,4,4,24,3,2684,4,3,3,1,2,1,35,3,2,2,2,1,1,1
1,1,2,12,3,1498,4,3,2,1,1,3,23,1,2,1,3,1,1,1
1,4,4,30,3,5954,3,4,3,2,2,3,38,3,2,1,3,1,1,1
0,2,1,48,9,6416,4,5,2,1,3,4,59,3,1,1,3,1,1,1
1,2,4,12,2,3617,1,5,3,1,4,3,28,3,1,3,3,1,2,1
1,4,4,12,3,1291,4,3,2,1,2,2,35,3,2,2,3,1,1,1
1,3,4,24,9,1275,2,3,1,1,4,1,36,3,2,2,3,1,2,1
1,4,2,24,2,3972,2,4,2,1,4,2,25,3,1,1,3,1,2,1
1,4,4,15,2,3343,4,3,3,1,2,4,28,3,3,1,3,1,2,1
1,3,2,15,6,392,4,2,2,1,4,2,23,3,1,1,3,1,2,1
1,4,4,9,0,2134,4,3,3,1,4,3,48,3,2,3,3,1,2,1
1,4,4,30,3,5771,4,4,2,1,2,3,25,3,2,2,3,1,1,1
1,4,4,24,9,4526,3,3,3,1,2,1,74,3,2,1,4,1,2,1
1,4,4,15,2,2788,2,4,2,2,3,3,24,1,2,2,3,1,1,1
1,4,4,6,3,1382,1,3,2,1,1,3,28,3,2,2,3,1,2,1
1,3,2,36,3,5848,4,3,3,1,1,3,24,3,2,1,3,1,1,1
0,1,2,12,0,1228,4,3,2,1,2,1,24,3,2,1,2,1,1,1
1,3,2,12,3,1297,3,3,4,1,4,1,23,3,1,1,3,1,1,1
1,4,2,24,3,1552,3,4,3,1,1,3,32,1,2,1,3,2,1,1
1,4,2,12,3,1963,4,4,3,1,2,3,31,3,1,2,4,2,2,1
1,4,2,24,3,3235,3,5,1,1,2,3,36,3,2,1,4,1,2,1
1,4,4,24,9,4139,3,3,3,1,3,2,27,3,2,2,2,1,2,1
1,2,4,12,1,1804,3,2,3,1,4,2,44,3,2,1,3,1,1,1
1,4,2,18,9,1950,4,4,3,1,1,3,34,2,2,2,3,1,2,1
1,4,3,48,3,12749,4,4,3,1,1,3,37,3,2,1,4,1,2,1
1,4,2,9,4,1236,1,2,2,1,4,1,23,3,1,1,3,1,2,1
1,4,4,18,0,1055,4,2,2,1,1,2,30,3,2,2,3,1,1,1
1,1,0,30,9,8072,2,2,3,1,3,3,25,1,2,3,3,1,1,1
1,4,4,30,3,2831,4,3,2,1,2,3,33,3,2,1,3,1,2,1
1,4,2,9,9,1449,3,4,2,1,2,3,27,3,2,2,3,1,1,1
1,4,2,36,9,5742,2,4,3,1,2,3,31,3,2,2,3,1,2,1
1,4,2,12,0,2390,4,5,3,1,3,3,50,3,2,1,3,1,2,1
1,4,2,24,3,3430,3,5,3,1,2,3,31,3,2,1,3,2,2,1
1,2,2,36,6,2273,3,4,3,1,1,3,32,3,2,2,3,2,1,1
1,3,2,21,0,2923,1,3,2,1,1,3,28,1,2,1,4,1,2,1
1,4,2,24,3,1901,4,3,3,1,4,3,29,3,1,1,4,1,2,1
1,2,2,36,6,3711,2,3,4,1,2,3,27,3,2,1,3,1,1,1
1,2,2,48,0,8487,1,4,2,1,2,3,24,3,2,1,3,1,1,1
1,4,2,24,0,2255,4,2,3,1,1,2,54,3,2,1,3,1,1,1
1,4,2,12,3,1262,3,3,3,1,2,3,25,3,2,1,3,1,1,1
1,4,4,33,1,7253,3,4,3,1,2,3,35,3,2,2,4,1,2,1
1,4,4,6,0,6761,1,4,3,1,3,4,45,3,2,2,4,2,2,1
1,4,4,18,2,1817,4,3,2,1,2,4,28,3,2,2,3,1,1,1
1,4,2,12,3,2141,3,4,3,1,1,4,35,3,2,1,3,1,1,1
1,4,1,48,9,3609,1,3,2,1,1,1,27,2,2,1,3,1,1,1
1,4,2,30,3,2333,4,5,3,1,2,3,30,1,2,1,4,1,1,1
1,4,1,28,1,7824,3,2,3,3,4,1,40,1,1,2,3,2,2,1
1,3,1,18,3,1445,4,4,3,1,4,3,49,1,2,1,2,1,1,1
1,1,2,24,2,7721,1,2,2,1,2,2,30,3,2,1,3,1,2,2
1,1,2,21,0,3763,2,4,3,2,2,1,24,3,2,1,2,1,1,2
1,2,2,18,9,4439,1,5,3,2,1,1,33,1,2,1,4,1,2,1
1,1,2,12,3,1107,2,3,3,1,2,1,20,3,1,1,4,2,2,1
1,2,2,15,3,1444,4,2,3,1,1,2,23,3,2,1,3,1,1,1
1,2,1,48,0,12169,4,1,3,2,4,4,36,3,3,1,4,1,2,1
1,4,2,9,3,2753,3,5,3,2,4,3,35,3,2,1,3,1,2,1
1,3,2,4,0,1494,1,2,3,1,2,1,29,3,2,1,2,2,1,2
1,1,1,24,2,2828,4,3,3,1,4,1,22,2,2,1,3,1,2,1
1,1,1,24,2,2483,4,3,3,1,4,1,22,2,2,1,3,1,2,1
1,3,4,6,0,1299,1,3,3,1,1,1,74,3,2,3,1,2,1,2
1,2,2,9,0,1549,4,2,3,1,2,1,35,3,2,1,1,1,1,1
1,3,2,10,0,3949,1,2,3,3,1,2,37,3,2,1,2,2,1,1
1,4,2,10,1,2901,1,2,2,1,4,1,31,3,1,1,3,1,1,1
1,3,2,6,0,709,2,2,4,1,2,1,27,3,2,1,1,1,1,2
1,1,2,47,0,10722,1,2,2,1,1,1,35,3,2,1,2,1,2,1
1,4,2,10,0,1287,4,5,3,2,2,2,45,3,2,1,2,1,1,2
1,1,1,18,3,1940,3,2,3,2,4,4,36,1,3,1,4,1,2,1
1,3,4,30,3,3656,4,5,3,1,4,2,49,2,2,2,2,1,1,1
1,4,3,24,1,4679,3,4,3,1,3,3,35,3,2,2,2,1,2,1
1,4,3,27,1,8613,2,3,3,1,2,3,27,3,2,2,3,1,1,1
1,1,2,18,2,2659,4,3,3,1,2,3,28,3,2,1,3,1,1,1
1,4,4,24,3,1516,4,3,2,1,1,1,43,3,2,2,2,1,1,1
1,1,2,18,0,4380,3,3,3,1,4,3,35,3,2,1,2,2,2,1
1,4,3,14,0,802,4,3,3,1,2,3,27,3,2,2,2,1,1,1
1,4,2,21,9,1572,4,5,2,1,4,1,36,1,2,1,2,1,1,1
1,2,1,48,9,3566,4,4,3,1,2,3,30,3,2,1,3,1,1,1
1,4,2,24,3,1278,4,5,3,1,1,1,36,3,2,1,4,1,2,1
1,4,0,6,3,426,4,5,4,1,4,3,39,3,2,1,2,1,1,1
1,4,2,39,1,8588,4,5,3,1,2,3,45,3,2,1,4,1,2,1
1,1,2,30,1,3857,4,3,1,1,4,2,40,3,2,1,4,1,2,1
0,2,2,12,0,685,2,4,4,1,3,3,25,1,2,1,2,1,1,1
1,1,2,24,3,1603,4,5,2,1,4,3,55,3,2,1,3,1,1,1
1,4,2,21,2,2241,4,5,3,1,2,1,50,3,2,2,3,1,1,1
1,1,2,24,3,2384,4,5,3,1,4,1,64,1,1,1,2,1,1,1
1,4,2,4,2,601,1,2,2,1,3,1,23,3,1,1,2,2,1,1
1,4,2,39,1,2569,4,3,3,1,4,3,24,3,2,1,3,1,1,1
1,4,4,15,3,1316,2,3,4,1,2,2,47,3,2,2,2,1,1,1
1,4,2,60,0,10366,2,5,3,1,4,2,42,3,2,1,4,1,2,1
1,4,2,18,9,1568,3,3,2,1,4,2,24,3,1,1,2,1,1,1
1,4,4,18,3,629,4,5,3,1,3,2,32,1,2,2,4,1,2,1
1,4,1,6,3,1750,2,5,3,1,4,2,45,1,2,1,2,2,1,1
1,4,2,24,1,3488,3,4,2,1,4,3,23,3,2,1,3,1,1,1
1,4,4,18,3,1800,4,3,3,1,2,3,24,3,2,2,3,1,1,1
1,4,3,24,2,4151,2,3,3,1,3,2,35,3,2,2,3,1,1,1
1,2,2,15,5,2631,3,3,2,1,2,1,25,3,2,1,2,1,1,1
1,4,2,21,1,5248,1,3,3,1,3,3,26,3,2,1,3,1,1,1
1,2,3,18,0,2899,4,5,3,1,4,3,43,3,2,1,3,2,1,1
1,2,3,18,5,6204,2,3,3,1,4,1,44,3,2,1,2,2,2,1
1,4,2,12,3,804,4,5,3,1,4,3,38,3,2,1,3,1,1,1
1,4,2,36,3,3595,4,5,3,1,2,3,28,3,2,1,3,1,1,1
1,4,4,36,1,5711,4,5,3,1,2,3,38,3,2,2,4,1,2,1
1,3,2,15,9,2687,2,4,3,1,4,2,26,3,1,1,3,1,2,1
1,1,3,15,2,3643,1,5,2,1,4,2,27,3,2,2,2,1,1,1
1,4,4,10,2,2146,1,2,2,1,3,1,23,3,1,2,3,1,1,1
1,1,2,10,3,2315,3,5,3,1,4,1,52,3,2,1,2,1,1,1
1,4,2,5,9,3448,1,4,3,1,4,1,74,3,2,1,2,1,1,1
1,4,2,15,2,2708,2,2,3,1,3,2,27,1,2,2,2,1,1,1
1,4,4,11,0,1393,4,2,2,1,4,3,35,3,2,2,4,1,1,1
1,3,2,10,2,1275,4,2,2,1,2,2,23,3,2,1,3,1,1,1
1,4,2,9,2,1313,1,5,3,1,4,3,20,3,2,1,3,1,1,1
1,4,2,12,3,1493,4,2,2,1,3,3,34,3,2,1,3,2,1,1
1,4,2,22,3,2675,3,5,3,1,4,3,40,3,2,1,3,1,1,1
1,2,2,9,3,2118,2,3,3,1,2,1,37,3,2,1,2,2,1,1
1,4,2,36,0,909,4,5,3,1,4,2,36,3,2,1,3,1,1,1
1,4,4,12,2,1258,2,2,2,1,4,2,22,3,1,2,2,1,1,1
1,4,1,15,3,1569,4,5,3,1,4,3,34,1,2,1,2,2,1,1
1,4,2,6,1,1236,2,3,3,1,4,2,50,3,1,1,3,1,1,1
1,4,3,36,2,7678,2,4,2,1,4,3,40,3,2,2,3,1,2,1
1,4,2,6,5,660,2,4,4,1,4,1,23,3,1,1,2,1,1,1
1,4,2,24,2,2835,3,5,3,1,4,2,53,3,2,1,3,1,1,1
1,4,2,24,1,2670,4,5,3,1,4,3,35,3,2,1,4,1,2,1
1,4,1,12,8,3447,4,3,2,1,3,1,35,3,2,1,2,2,1,1
1,4,2,15,3,3568,4,5,2,1,2,3,54,1,1,1,4,1,2,1
1,2,4,21,9,3652,2,4,3,1,3,2,27,3,2,2,3,1,1,1
1,1,2,24,3,3660,2,3,2,1,4,3,28,3,2,1,3,1,1,1
1,3,2,9,3,1126,2,5,1,1,4,1,49,3,2,1,3,1,1,1
1,3,3,6,3,683,2,2,2,1,1,2,29,1,2,1,3,1,1,1
1,3,2,12,2,2251,1,3,2,1,2,3,46,3,2,1,2,1,1,1
1,4,2,12,1,4675,1,2,2,1,4,3,20,3,1,1,3,1,1,1
1,2,3,21,0,2353,1,3,1,1,4,2,47,3,2,2,3,1,1,1
1,1,2,21,3,3357,4,2,2,1,2,3,29,1,2,1,3,1,1,1
1,4,2,6,0,672,1,1,2,1,4,1,54,3,2,1,1,1,2,1
1,1,4,6,3,338,4,5,3,1,4,3,52,3,2,2,3,1,1,1
1,4,2,9,3,2697,1,3,3,1,2,1,32,3,2,1,3,2,1,1
1,4,2,9,0,2507,2,5,3,1,4,4,51,3,3,1,2,1,1,1
1,4,3,15,3,1478,4,3,4,1,3,1,33,1,2,2,3,1,1,1
1,4,4,12,6,3565,2,2,3,1,1,2,37,3,2,2,2,2,1,1
1,4,2,15,2,2221,2,3,2,1,4,3,20,3,1,1,3,1,1,1
1,4,4,6,3,1898,1,3,3,1,2,1,34,3,2,2,2,2,1,1
1,2,3,6,9,1449,1,5,1,1,2,3,31,1,2,2,3,2,1,1
1,4,3,15,2,960,3,4,2,1,2,2,30,3,2,2,3,1,1,1
1,4,2,36,1,8133,1,3,2,1,2,2,30,1,2,1,3,1,1,1
1,4,2,9,2,2301,2,2,2,1,4,2,22,3,1,1,3,1,1,1
1,4,3,6,9,1743,1,3,3,1,2,1,34,3,2,2,2,1,1,1
1,2,2,12,2,983,1,2,2,1,4,1,19,3,1,1,2,1,1,1
1,4,3,18,3,2320,2,1,4,1,3,1,34,3,2,2,3,1,1,1
1,1,1,12,8,339,4,5,4,1,1,3,45,1,2,1,2,1,1,1
1,3,2,24,3,5152,4,4,3,1,2,3,25,1,2,1,3,1,1,1
1,3,2,24,2,3749,2,2,2,1,4,3,26,3,2,1,3,1,1,1
1,4,4,9,3,3074,1,3,3,1,2,1,33,3,2,2,3,2,1,1
0,3,2,9,3,745,3,3,2,1,2,1,28,3,2,1,2,1,1,1
1,4,2,24,0,1469,4,5,4,1,4,1,41,3,1,1,2,1,1,1
1,1,2,6,2,1374,1,3,3,1,2,1,36,1,2,1,2,1,2,1
1,4,1,6,0,783,1,3,3,3,2,1,26,2,2,1,2,2,1,1
1,1,2,21,3,2606,4,2,2,1,4,2,28,3,1,1,4,1,2,1
1,4,0,54,1,9436,2,3,3,1,2,2,39,3,2,1,2,2,1,1
1,4,4,12,3,930,4,5,3,1,4,1,65,3,2,4,3,1,1,1
1,4,4,48,1,2751,4,5,3,1,3,3,38,3,2,2,3,2,2,1
1,4,4,6,0,250,2,3,2,1,2,1,41,1,2,2,2,1,1,1
1,2,2,24,0,1201,4,2,3,1,1,2,26,3,2,1,3,1,1,1
1,1,2,6,0,662,3,2,3,1,4,1,41,3,2,1,2,2,2,1
1,4,2,15,1,1300,4,5,3,1,4,4,45,1,3,1,3,2,1,1
1,4,1,24,9,1559,4,4,3,1,4,3,40,1,2,1,3,1,2,1
1,3,2,12,3,3016,3,3,4,1,1,3,24,3,2,1,3,1,1,1
1,4,4,15,3,1360,4,3,3,1,2,2,31,3,2,2,3,1,1,1
1,4,0,6,0,1204,4,3,3,1,1,4,35,1,1,1,3,1,1,2
1,4,2,10,0,1597,3,3,3,1,2,4,40,3,1,1,2,2,1,2
1,4,2,12,3,2073,4,3,2,2,2,1,28,3,2,1,3,1,1,1
1,4,2,11,9,2142,1,5,1,1,2,1,28,3,2,1,3,1,2,1
1,1,4,10,2,2132,2,2,2,2,3,1,27,3,1,2,3,1,1,2
1,4,2,10,0,1546,3,3,3,1,2,1,31,3,2,1,2,2,1,2
1,4,4,24,0,1287,4,5,2,1,4,1,37,3,2,2,3,1,2,1
1,4,2,10,0,1418,3,3,3,1,2,1,35,3,1,1,2,1,1,2
1,3,4,6,0,1343,1,5,3,1,4,1,46,3,2,2,3,2,1,2
1,4,2,18,0,2662,4,4,3,1,3,2,32,3,2,1,3,1,1,2
1,4,4,18,3,6070,3,5,3,1,4,3,33,3,2,2,3,1,2,1
1,4,4,24,6,1927,3,3,2,1,2,3,33,3,2,2,3,1,2,1
1,4,4,18,3,2404,2,3,2,1,2,3,26,3,2,2,3,1,1,1
1,4,4,6,3,1554,1,4,2,1,2,3,24,3,1,2,3,1,2,1
1,4,2,22,0,1283,4,4,2,1,4,2,25,3,1,1,3,1,1,1
1,4,3,24,0,717,4,5,4,1,4,3,54,3,2,2,3,1,2,1
